rank,frequency_cycles_per_year,period_years,fft_complex_amplitude_rad,fft_complex_amplitude_arcsec
1,6.251953735542357e-05,1.599500000000000e+04,3.801164749837649e-01,7.840465106385552e+04
2,1.250390747108471e-04,7.997499999999999e+03,1.170166606281384e-01,2.413641883214519e+04
3,1.875586120662707e-04,5.331666666666667e+03,5.973121241371145e-02,1.232044695541835e+04
4,2.500781494216943e-04,3.998750000000000e+03,3.759681983303539e-02,7.754900758368035e+03
5,3.125976867771179e-04,3.199000000000000e+03,2.652721073808280e-02,5.471629983166542e+03
6,3.751172241325414e-04,2.665833333333333e+03,2.010033075898295e-02,4.145990829504171e+03
7,4.376367614879650e-04,2.285000000000000e+03,1.598667781388837e-02,3.297489001816438e+03
8,5.001562988433886e-04,1.999375000000000e+03,1.316633689928371e-02,2.715751929514751e+03
9,5.626758361988121e-04,1.777222222222222e+03,1.113170020503305e-02,2.296077985991905e+03
10,6.251953735542358e-04,1.599500000000000e+03,9.604595859381188e-03,1.981090104016925e+03
11,6.877149109096593e-04,1.454090909090909e+03,8.422452811391822e-03,1.737255597267046e+03
12,7.502344482650828e-04,1.332916666666667e+03,7.483746832445503e-03,1.543633590396693e+03
13,8.127539856205065e-04,1.230384615384615e+03,6.722584240624501e-03,1.386632535872196e+03
14,8.752735229759300e-04,1.142500000000000e+03,6.094433258360048e-03,1.257067095221495e+03
15,9.377930603313537e-04,1.066333333333333e+03,5.568050158023336e-03,1.148492787018798e+03
16,1.000312597686777e-03,9.996874999999999e+02,5.122107914732837e-03,1.056510596609087e+03
17,1.062832135042201e-03,9.408823529411764e+02,4.737754640644066e-03,9.772320429987299e+02
18,1.125351672397624e-03,8.886111111111111e+02,4.382404950204614e-03,9.039359079502707e+02
19,1.187871209753048e-03,8.418421052631578e+02,4.117486151837548e-03,8.492924833338742e+02
20,1.250390747108472e-03,7.997499999999999e+02,3.860745069468859e-03,7.963358337234268e+02
